批次号,类型,患者姓名,电话,身份证,就诊日期,时段,医生,原状态,处理状态,处理结果,处理备注,通知内容
SUS202606150172,预约,小刚,13800000003,110101199001010003,2026-06-15,afternoon,王医生,已确认,未处理,,,【停诊通知】尊敬的小刚您好，您预约的2026-06-15 afternoon 王医生医生的就诊因医生外出开会已取消。批次号：SUS202606150172。请您及时改约，给您带来不便敬请谅解。
SUS202606150172,预约,小丽,13800000004,110101199001010004,2026-06-15,afternoon,王医生,已确认,未处理,,,【停诊通知】尊敬的小丽您好，您预约的2026-06-15 afternoon 王医生医生的就诊因医生外出开会已取消。批次号：SUS202606150172。请您及时改约，给您带来不便敬请谅解。
SUS202606150172,预约,小红,13800000002,110101199001010002,2026-06-15,morning,张医生,已确认,未处理,,,【停诊通知】尊敬的小红您好，您预约的2026-06-15 morning 张医生医生的就诊因医生外出开会已取消。批次号：SUS202606150172。请您及时改约，给您带来不便敬请谅解。
SUS202606150172,预约,小军,13800000008,110101199001010008,2026-06-15,morning,赵医生,已确认,未处理,,,【停诊通知】尊敬的小军您好，您预约的2026-06-15 morning 赵医生医生的就诊因医生外出开会已取消。批次号：SUS202606150172。请您及时改约，给您带来不便敬请谅解。
SUS202606150172,候补,小强,13800000006,110101199001010006,2026-06-15,afternoon,王医生,等候中,未处理,,,【停诊通知】尊敬的小强您好，您候补的2026-06-15 afternoon 王医生医生的号源因医生外出开会已暂停。批次号：SUS202606150172。系统将自动为您顺延至下一可用号源，如有疑问请联系医院。
SUS202606150172,候补,小芳,13800000007,110101199001010007,2026-06-15,afternoon,王医生,等候中,未处理,,,【停诊通知】尊敬的小芳您好，您候补的2026-06-15 afternoon 王医生医生的号源因医生外出开会已暂停。批次号：SUS202606150172。系统将自动为您顺延至下一可用号源，如有疑问请联系医院。
SUS202606150172,候补,小华,13800000005,110101199001010005,2026-06-15,morning,张医生,等候中,未处理,,,【停诊通知】尊敬的小华您好，您候补的2026-06-15 morning 张医生医生的号源因医生外出开会已暂停。批次号：SUS202606150172。系统将自动为您顺延至下一可用号源，如有疑问请联系医院。
SUS202606150172,候补,小强,13800000006,110101199001010006,2026-06-15,morning,张医生,等候中,未处理,,,【停诊通知】尊敬的小强您好，您候补的2026-06-15 morning 张医生医生的号源因医生外出开会已暂停。批次号：SUS202606150172。系统将自动为您顺延至下一可用号源，如有疑问请联系医院。
SUS202606150172,候补,小明,13800000001,110101199001010001,2026-06-15,morning,赵医生,等候中,未处理,,,【停诊通知】尊敬的小明您好，您候补的2026-06-15 morning 赵医生医生的号源因医生外出开会已暂停。批次号：SUS202606150172。系统将自动为您顺延至下一可用号源，如有疑问请联系医院。
SUS202606150172,候补,小红,13800000002,110101199001010002,2026-06-15,morning,赵医生,等候中,未处理,,,【停诊通知】尊敬的小红您好，您候补的2026-06-15 morning 赵医生医生的号源因医生外出开会已暂停。批次号：SUS202606150172。系统将自动为您顺延至下一可用号源，如有疑问请联系医院。
